REGIONID,forecast_error_mw
NSW1,8614.92
NSW1,8660.28
NSW1,8853.77
NSW1,8839.12
NSW1,8841.26
NSW1,8982.4
NSW1,9090.09
NSW1,9061.84
NSW1,9135.64
NSW1,9218.1
NSW1,9252.21
NSW1,9242.31
NSW1,9325.6
NSW1,9412.72
NSW1,9464.53
NSW1,9466.01
NSW1,9544.98
NSW1,9623.49
NSW1,9766.16
NSW1,9812.99
NSW1,9782.9
NSW1,9830.47
NSW1,9802.27
NSW1,9982.73
NSW1,10103.26
NSW1,10220.54
NSW1,10104.23
NSW1,10297.47
NSW1,10381.54
NSW1,10514.63
NSW1,10610.28
NSW1,10505.0
NSW1,10687.19
NSW1,10732.01
NSW1,10659.48
NSW1,10855.91
NSW1,10927.71
NSW1,10891.81
NSW1,10901.21
NSW1,10955.62
NSW1,10973.58
NSW1,10989.24
NSW1,10973.34
NSW1,10940.34
NSW1,10889.58
NSW1,10855.51
NSW1,10972.16
NSW1,10796.11
NSW1,10902.81
NSW1,10809.38
NSW1,10879.11
NSW1,10892.16
NSW1,10870.81
NSW1,10778.85
NSW1,10643.79
NSW1,10720.4
NSW1,10666.89
NSW1,10633.71
NSW1,10517.15
NSW1,10507.13
NSW1,10487.89
NSW1,10623.21
NSW1,10501.38
NSW1,10486.04
NSW1,10292.77
NSW1,10467.83
NSW1,10292.46
NSW1,10279.7
NSW1,10347.04
NSW1,10146.49
NSW1,10227.02
NSW1,10154.4
NSW1,10103.23
NSW1,10152.81
NSW1,10130.72
NSW1,10106.99
NSW1,10038.06
NSW1,9905.28
NSW1,9944.78
NSW1,9934.1
NSW1,9902.59
NSW1,9849.35
NSW1,9781.62
NSW1,9716.41
NSW1,9737.22
NSW1,9616.34
NSW1,9555.57
NSW1,9616.12
NSW1,9483.99
NSW1,9417.84
NSW1,9387.93
NSW1,9439.49
NSW1,9291.43
NSW1,9328.36
NSW1,9294.98
NSW1,9394.64
NSW1,9348.26
NSW1,9232.31
NSW1,9305.35
NSW1,9240.68
NSW1,9103.13
NSW1,9058.11
NSW1,9077.7
NSW1,9062.56
NSW1,8970.1
NSW1,9006.18
NSW1,8986.03
NSW1,8834.6
NSW1,8888.93
NSW1,8840.26
NSW1,8785.57
NSW1,8683.67
NSW1,8657.2
NSW1,8609.11
NSW1,8516.82
NSW1,8499.08
NSW1,8409.62
NSW1,8372.66
NSW1,8307.64
NSW1,8283.74
NSW1,8250.08
NSW1,8163.77
NSW1,8163.39
NSW1,8155.14
NSW1,8096.12
NSW1,8089.8
NSW1,8086.86
NSW1,8024.65
