hour_start,REGIONID,avg_net_interchange_mw
2026-03-05 05:00:00,TAS1,26.26
2026-03-05 05:00:00,VIC1,774.82
2026-03-05 06:00:00,NSW1,-899.72
2026-03-05 06:00:00,QLD1,859.77
2026-03-05 06:00:00,SA1,-454.26
2026-03-05 06:00:00,TAS1,120.41
2026-03-05 06:00:00,VIC1,475.8
2026-03-05 07:00:00,NSW1,-470.93
2026-03-05 07:00:00,QLD1,819.84
2026-03-05 07:00:00,SA1,-558.34
2026-03-05 07:00:00,TAS1,9.72
2026-03-05 07:00:00,VIC1,278.9
2026-03-05 08:00:00,NSW1,-573.64
2026-03-05 08:00:00,QLD1,720.81
2026-03-05 08:00:00,SA1,-440.27
2026-03-05 08:00:00,TAS1,-65.32
2026-03-05 08:00:00,VIC1,419.07
2026-03-05 09:00:00,NSW1,-495.52
2026-03-05 09:00:00,QLD1,667.93
2026-03-05 09:00:00,SA1,-291.06
2026-03-05 09:00:00,TAS1,-111.81
2026-03-05 09:00:00,VIC1,269.15
2026-03-05 10:00:00,NSW1,-610.65
2026-03-05 10:00:00,QLD1,742.61
2026-03-05 10:00:00,SA1,-207.16
2026-03-05 10:00:00,TAS1,-116.77
2026-03-05 10:00:00,VIC1,240.72
2026-03-05 11:00:00,NSW1,-469.64
2026-03-05 11:00:00,QLD1,597.53
2026-03-05 11:00:00,SA1,-296.65
2026-03-05 11:00:00,TAS1,-122.74
2026-03-05 11:00:00,VIC1,322.24
2026-03-05 12:00:00,NSW1,-63.88
2026-03-05 12:00:00,QLD1,196.31
2026-03-05 12:00:00,SA1,-286.19
2026-03-05 12:00:00,TAS1,-112.79
2026-03-05 12:00:00,VIC1,274.68
2026-03-05 13:00:00,NSW1,-482.15
2026-03-05 13:00:00,QLD1,626.12
2026-03-05 13:00:00,SA1,-210.59
2026-03-05 13:00:00,TAS1,-100.7
2026-03-05 13:00:00,VIC1,202.44
2026-03-05 14:00:00,NSW1,-388.99
2026-03-05 14:00:00,QLD1,611.05
2026-03-05 14:00:00,SA1,-188.54
2026-03-05 14:00:00,TAS1,-102.71
2026-03-05 14:00:00,VIC1,92.35
2026-03-05 15:00:00,NSW1,-316.45
2026-03-05 15:00:00,QLD1,571.8
2026-03-05 15:00:00,SA1,-124.72
2026-03-05 15:00:00,TAS1,-43.33
2026-03-05 15:00:00,VIC1,-79.27
2026-03-05 16:00:00,NSW1,-411.01
2026-03-05 16:00:00,QLD1,633.19
2026-03-05 16:00:00,SA1,-17.45
2026-03-05 16:00:00,TAS1,-86.68
2026-03-05 16:00:00,VIC1,-87.69
2026-03-05 17:00:00,NSW1,-607.9
2026-03-05 17:00:00,QLD1,567.42
2026-03-05 17:00:00,SA1,94.83
2026-03-05 17:00:00,TAS1,-37.02
2026-03-05 17:00:00,VIC1,11.21
2026-03-05 18:00:00,NSW1,-1261.17
2026-03-05 18:00:00,QLD1,679.69
2026-03-05 18:00:00,SA1,-118.83
2026-03-05 18:00:00,TAS1,83.02
2026-03-05 18:00:00,VIC1,698.55
2026-03-05 19:00:00,NSW1,-1379.72
2026-03-05 19:00:00,QLD1,582.83
2026-03-05 19:00:00,SA1,-235.84
2026-03-05 19:00:00,TAS1,3.76
2026-03-05 19:00:00,VIC1,1138.67
2026-03-05 20:00:00,NSW1,-1303.03
2026-03-05 20:00:00,QLD1,450.62
2026-03-05 20:00:00,SA1,-274.81
2026-03-05 20:00:00,TAS1,14.61
2026-03-05 20:00:00,VIC1,1233.76
2026-03-05 21:00:00,NSW1,-990.82
2026-03-05 21:00:00,QLD1,83.94
2026-03-05 21:00:00,SA1,-174.8
2026-03-05 21:00:00,TAS1,0.0
2026-03-05 21:00:00,VIC1,1212.76
2026-03-05 22:00:00,NSW1,-970.62
2026-03-05 22:00:00,QLD1,130.56
2026-03-05 22:00:00,SA1,-339.91
2026-03-05 22:00:00,TAS1,0.0
2026-03-05 22:00:00,VIC1,1302.28
2026-03-05 23:00:00,NSW1,-1095.44
2026-03-05 23:00:00,QLD1,325.12
2026-03-05 23:00:00,SA1,-363.92
2026-03-05 23:00:00,TAS1,0.0
2026-03-05 23:00:00,VIC1,1242.28
2026-03-06 00:00:00,NSW1,-1241.52
2026-03-06 00:00:00,QLD1,550.46
2026-03-06 00:00:00,SA1,-394.55
2026-03-06 00:00:00,TAS1,0.0
2026-03-06 00:00:00,VIC1,1194.0
2026-03-06 01:00:00,NSW1,-1368.52
2026-03-06 01:00:00,QLD1,742.4
2026-03-06 01:00:00,SA1,-418.16
2026-03-06 01:00:00,TAS1,0.0
2026-03-06 01:00:00,VIC1,1163.46
2026-03-06 02:00:00,NSW1,-1341.37
2026-03-06 02:00:00,QLD1,714.97
2026-03-06 02:00:00,SA1,-397.45
2026-03-06 02:00:00,TAS1,0.0
2026-03-06 02:00:00,VIC1,1140.68
2026-03-06 03:00:00,NSW1,-1333.26
2026-03-06 03:00:00,QLD1,778.92
2026-03-06 03:00:00,SA1,-336.91
2026-03-06 03:00:00,TAS1,0.0
2026-03-06 03:00:00,VIC1,1000.91
2026-03-06 04:00:00,NSW1,-1230.61
2026-03-06 04:00:00,QLD1,845.16
2026-03-06 04:00:00,SA1,-313.03
2026-03-06 04:00:00,TAS1,0.0
2026-03-06 04:00:00,VIC1,789.64
2026-03-06 05:00:00,NSW1,-1231.31
2026-03-06 05:00:00,QLD1,781.59
2026-03-06 05:00:00,SA1,-190.25
2026-03-06 05:00:00,TAS1,0.0
2026-03-06 05:00:00,VIC1,724.29
2026-03-06 06:00:00,NSW1,-1011.48
2026-03-06 06:00:00,QLD1,478.93
2026-03-06 06:00:00,SA1,-182.57
2026-03-06 06:00:00,TAS1,10.95
2026-03-06 06:00:00,VIC1,774.87
2026-03-06 07:00:00,NSW1,-120.78
2026-03-06 07:00:00,QLD1,342.84
2026-03-06 07:00:00,SA1,-668.82
2026-03-06 07:00:00,TAS1,-10.24
2026-03-06 07:00:00,VIC1,499.41
2026-03-06 08:00:00,NSW1,-101.53
2026-03-06 08:00:00,QLD1,260.67
2026-03-06 08:00:00,SA1,-449.84
2026-03-06 08:00:00,TAS1,-118.96
2026-03-06 08:00:00,VIC1,437.02
2026-03-06 09:00:00,NSW1,-308.71
2026-03-06 09:00:00,QLD1,484.56
2026-03-06 09:00:00,SA1,-371.01
2026-03-06 09:00:00,TAS1,-52.51
2026-03-06 09:00:00,VIC1,271.25
2026-03-06 10:00:00,NSW1,-433.05
2026-03-06 10:00:00,QLD1,681.51
2026-03-06 10:00:00,SA1,-400.62
2026-03-06 10:00:00,TAS1,-108.29
2026-03-06 10:00:00,VIC1,287.78
2026-03-06 11:00:00,NSW1,-433.71
2026-03-06 11:00:00,QLD1,692.52
2026-03-06 11:00:00,SA1,-373.16
2026-03-06 11:00:00,TAS1,-120.88
2026-03-06 11:00:00,VIC1,259.99
2026-03-06 12:00:00,NSW1,-537.51
2026-03-06 12:00:00,QLD1,718.99
2026-03-06 12:00:00,SA1,-370.41
2026-03-06 12:00:00,TAS1,-125.0
2026-03-06 12:00:00,VIC1,342.95
2026-03-06 13:00:00,NSW1,-578.04
2026-03-06 13:00:00,QLD1,814.82
2026-03-06 13:00:00,SA1,-331.56
2026-03-06 13:00:00,TAS1,-113.37
2026-03-06 13:00:00,VIC1,236.12
2026-03-06 14:00:00,NSW1,-332.72
2026-03-06 14:00:00,QLD1,519.35
2026-03-06 14:00:00,SA1,-329.23
2026-03-06 14:00:00,TAS1,-111.24
2026-03-06 14:00:00,VIC1,255.46
2026-03-06 15:00:00,NSW1,-215.78
2026-03-06 15:00:00,QLD1,377.95
2026-03-06 15:00:00,SA1,-373.64
2026-03-06 15:00:00,TAS1,-113.48
2026-03-06 15:00:00,VIC1,325.67
2026-03-06 16:00:00,NSW1,-63.97
2026-03-06 16:00:00,QLD1,152.24
2026-03-06 16:00:00,SA1,-324.66
2026-03-06 16:00:00,TAS1,-115.57
2026-03-06 16:00:00,VIC1,365.44
2026-03-06 17:00:00,NSW1,2.85
2026-03-06 17:00:00,QLD1,-129.44
2026-03-06 17:00:00,SA1,-237.33
2026-03-06 17:00:00,TAS1,-48.68
2026-03-06 17:00:00,VIC1,459.5
2026-03-06 18:00:00,NSW1,-586.74
2026-03-06 18:00:00,QLD1,82.43
2026-03-06 18:00:00,SA1,-468.77
2026-03-06 18:00:00,TAS1,0.0
2026-03-06 18:00:00,VIC1,1048.03
2026-03-06 19:00:00,NSW1,-775.77
2026-03-06 19:00:00,QLD1,101.14
2026-03-06 19:00:00,SA1,-367.6
2026-03-06 19:00:00,TAS1,0.0
2026-03-06 19:00:00,VIC1,1133.39
2026-03-06 20:00:00,NSW1,-937.87
2026-03-06 20:00:00,QLD1,141.46
2026-03-06 20:00:00,SA1,-153.84
2026-03-06 20:00:00,TAS1,0.0
2026-03-06 20:00:00,VIC1,1055.06
2026-03-06 21:00:00,NSW1,-734.68
2026-03-06 21:00:00,QLD1,53.41
2026-03-06 21:00:00,SA1,-171.01
2026-03-06 21:00:00,TAS1,0.0
2026-03-06 21:00:00,VIC1,937.39
2026-03-06 22:00:00,NSW1,-695.92
